level,deck,word,reading,meaning,ratings_today,final_rating_today,answer_seconds_today,reps,lapses,current_interval_days
N3,日本語::JLPT 한끝 Voca::3-N3,かわく,かわく,마르다,[2],2,2.1,10,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,がっかり,がっかり,실망하다,[2],2,2.8,5,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,がらがら,がらがら,텅 빈 모양,[2],2,3.1,7,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,仮定,かてい,가정,[2],2,5.8,3,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,応援,おうえん,응원,[2],2,9.8,4,0,6
N3,日本語::JLPT 한끝 Voca::3-N3,扱う,あつかう,취급하다,[2],2,8.0,24,0,5
N3,日本語::JLPT 한끝 Voca::3-N3,折れる,おれる,"부러지다, 꺾이다",[2],2,9.3,11,0,5
N3,日本語::JLPT 한끝 Voca::3-N3,暗記,あんき,암기,[2],2,6.6,6,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,現れる,あらわれる,나타나다,[2],2,39.3,20,0,4
N3,日本語::JLPT 한끝 Voca::3-N3,観客,かんきゃく,관객,[2],2,12.2,4,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,観察,かんさつ,관찰,[2],2,8.0,3,0,2
N3,日本語::JLPT 한끝 Voca::3-N3,遅れる,おくれる,늦다,[2],2,3.8,6,0,4
N3,日本語::JLPT 한끝 Voca::3-N3,香り,かおり,향기,[2],2,6.1,5,0,5
N4,日本語::JLPT 한끝 Voca::2-N4,あさい,あさい,얕다,[2],2,38.7,4,0,8
N4,日本語::JLPT 한끝 Voca::2-N4,あやまる,あやまる,사과하다,[2],2,7.7,4,0,6
N4,日本語::JLPT 한끝 Voca::2-N4,いっけん,いっけん,한 채,[2],2,2.6,6,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,うえる,うえる,심다,[2],2,2.5,16,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,うつ,うつ,"치다, 부딪치다",[2],2,3.4,10,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,おつり,おつり,거스름돈,[2],2,2.8,15,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,おどろく,おどろく,놀라다,[2],2,4.8,8,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,おみまい,おみまい,병문안,[2],2,3.6,15,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,おれい,おれい,"사례, 감사 인사",[2],2,4.8,11,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,会場,かいじょう,회장,[2],2,60.0,5,0,3
N4,日本語::JLPT 한끝 Voca::2-N4,営業,えいぎょう,영업,[2],2,60.0,5,0,5
N4,日本語::JLPT 한끝 Voca::2-N4,家族,かぞく,가족,[2],2,6.0,3,0,4
N4,日本語::JLPT 한끝 Voca::2-N4,帰り,かえり,귀갓길,[2],2,4.5,3,0,5
N4,日本語::JLPT 한끝 Voca::2-N4,帰る,かえる,돌아가다,[2],2,4.9,2,0,5
N4,日本語::JLPT 한끝 Voca::2-N4,空く,あく,비다,[2],2,3.1,4,0,6
N4,日本語::JLPT 한끝 Voca::2-N4,返す,かえす,반환하다,[2],2,4.1,4,0,5
N5,日本語::JLPT 한끝 Voca::1-N5,きたない,きたない,더럽다,[2],2,3.2,5,0,7
N5,日本語::JLPT 한끝 Voca::1-N5,北,きた,북쪽,[2],2,4.9,3,0,6
N5,日本語::JLPT 한끝 Voca::1-N5,果物,くだもの,과일,[2],2,56.1,6,0,8
N5,日本語::JLPT 한끝 Voca::1-N5,砂糖,さとう,설탕,[2],2,18.2,9,0,7
기타,"日本語::의성어, 의태어",うるうる,うるうる눈물이 그렁그렁; 눈이 촉촉하게 빛나는 모양눈의 촉촉함·눈물目がうるうるしている。눈에 눈물이 그렁그렁하다.,,[2],2,3.4,8,0,4
기타,"日本語::의성어, 의태어",うろうろ,うろうろ목적 없이 이리저리 돌아다니다갈피를 못 잡고 이동함道に迷って、駅の周りをうろうろした。길을 잃어서 역 주변을 이리저리 돌아다녔다.,,[2],2,4.5,7,0,4
기타,"日本語::의성어, 의태어",おろおろ,おろおろ당황하여 어쩔 줄 모르다걱정·당황으로 판단하지 못함突然の質問におろおろした。갑작스러운 질문에 당황해 어쩔 줄 몰랐다.,,[2],2,7.4,7,0,4
기타,日本語::의상,かぶる,かぶる / 쓰다 (모자 등) / / 帽子をかぶります。 / ぼうしを かぶります。 / 모자를 씁니다.,,[2],2,3.5,5,0,3
기타,"日本語::의성어, 의태어",ぐっすり,ぐっすり푹; 깊이깊게 잠든 상태昨夜はぐっすり眠れた。어젯밤에는 푹 잘 수 있었다.,,[2],2,5.9,8,0,5
기타,"日本語::의성어, 의태어",ぐったり,ぐったり녹초가 되어; 축 늘어져기운이 완전히 빠진 상태仕事の後、ぐったりして動けなかった。일이 끝난 뒤 녹초가 되어 움직일 수 없었다.,,[2],2,4.5,9,0,4
기타,"日本語::의성어, 의태어",とうとう,とうとう마침내; 결국오랫동안 이어진 일의 예상·우려된 결과とうとう雨が降り出した。결국 비가 내리기 시작했다.,,[2],2,2.9,7,0,4
기타,"日本語::의성어, 의태어",はっきり,はっきり분명히; 뚜렷하게말·모양·기억이 명확함自分の意見をはっきり言ってください。자신의 의견을 분명히 말해 주세요.,,[2],2,9.1,7,0,4
기타,"日本語::의성어, 의태어",ようやく,ようやく겨우; 간신히; 비로소やっと보다 다소 문어적·차분함ようやく春らしくなってきた。비로소 봄다워지기 시작했다.,,[2],2,2.3,8,0,5
기타,日本語::의상,コート,コート / 코트 / / 外に出る前にコートを着ます。 / そとに でる まえに コートを きます。 / 밖에 나가기 전에 코트를 입습니다.,,[2],2,5.5,3,0,5
기타,日本語::의상,下着,したぎ / 속옷 / / 旅行用の下着を準備します。 / りょこうようの したぎを じゅんびします。 / 여행용 속옷을 준비합니다.,,[2],2,14.8,5,0,3
기타,日本語::의상,制服,"せいふく / 제복, 교복 / / 学校では制服を着ます。 / がっこうでは せいふくを きます。 / 학교에서는 교복을 입습니다.",,[2],2,7.5,5,0,3
기타,日本語::청해 복습 (8/27),印刷する,いんさつする / 인쇄하다 / / 資料を十部印刷してください。 / 자료를 10부 인쇄해 주세요.,,[2],2,4.7,4,0,3
기타,日本語::의상,和服,わふく / 일본 전통 의상 / / 祭りで和服を着ました。 / まつりで わふくを きました。 / 축제에서 일본 전통 의상을 입었습니다.,,[2],2,6.1,5,0,3
기타,日本語::의상,履く,はく / 신다 / 바지·치마를 입다 / / 靴を履きます。 / くつを はきます。 / 신발을 신습니다.,,[2],2,3.8,5,0,4
기타,日本語::청해 복습 (8/27),明日の昼,あしたのひる / 내일 점심때 / / 明日の昼、一緒に行きませんか。 / 내일 점심에 함께 가지 않을래요?,,[2],2,4.4,4,0,3
기타,日本語::의상,着替える,きがえる / 갈아입다 / / 家に帰って服を着替えます。 / いえに かえって ふくを きがえます。 / 집에 돌아가 옷을 갈아입습니다.,,[2],2,6.9,5,0,3
기타,日本語::청해 복습 (8/27),資料,しりょう / 자료 / / 会議の資料を準備します。 / 회의 자료를 준비합니다.,,[2],2,8.7,4,0,3
기타,日本語::의상,靴,くつ / 신발 / / 玄関で靴を履きます。 / げんかんで くつを はきます。 / 현관에서 신발을 신습니다.,,[2],2,3.8,4,0,4
기타,日本語::의상,はめる,はめる / 끼다 (장갑·반지 등) / / 手袋をはめます。 / てぶくろを はめます。 / 장갑을 낍니다.,,"[1, 3]",3,96.7,6,1,1
N2,日本語::JLPT 한끝 Voca::4-N2,一層,いっそう,한층 더,"[2, 2, 2, 3, 2, 2, 3]",3,34.8,7,0,1
N2,日本語::JLPT 한끝 Voca::4-N2,一転,いってん,완전히 바뀜,"[2, 2, 3, 3]",3,39.2,4,0,1
N2,日本語::JLPT 한끝 Voca::4-N2,緯度,いど,위도,"[3, 2, 2, 2, 3]",3,191.1,5,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,きつい,きつい,꽉 끼다,"[2, 2, 3, 2, 3]",3,41.6,5,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,乾燥,かんそう,건조,"[2, 1, 2, 2, 3, 3]",3,40.1,6,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,傷,きず,"상처, 흠","[2, 2, 2, 3, 2, 3]",3,83.3,6,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,帰宅,きたく,귀가,"[2, 2, 2, 2, 2, 2, 3, 3]",3,124.2,8,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,疑問,ぎもん,의문,"[2, 2, 3, 2, 3]",3,51.3,5,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,規則,きそく,규칙,"[2, 2, 2, 3, 3]",3,88.1,5,0,1
N3,日本語::JLPT 한끝 Voca::3-N3,折る,おる,접다,"[1, 1, 2, 2, 2, 4]",4,87.4,16,1,2
N3,日本語::JLPT 한끝 Voca::3-N3,相手,あいて,상대,"[1, 4]",4,18.7,6,1,2
N2,日本語::JLPT 한끝 Voca::4-N2,今に,いまに,머지않아,"[2, 2, 3, 4]",4,11.7,4,0,5
N2,日本語::JLPT 한끝 Voca::4-N2,異文化,いぶんか,이문화,"[2, 2, 4]",4,30.9,3,0,5
N2,日本語::JLPT 한끝 Voca::4-N2,祈る,いのる,기도하다,"[2, 2, 4]",4,26.0,3,0,4
N2,日本語::JLPT 한끝 Voca::4-N2,違反,いはん,위반,"[2, 3, 4]",4,28.5,3,0,4
N3,日本語::JLPT 한끝 Voca::3-N3,期待,きたい,기대,"[2, 3, 2, 4]",4,80.8,4,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,期限,きげん,기한,"[2, 2, 2, 2, 3, 4]",4,64.9,6,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,機械,きかい,기계,"[2, 4]",4,63.1,2,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,気づく,きづく,"알아차리다, 깨닫다","[2, 2, 3, 4]",4,14.4,4,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,気温,きおん,기온,"[2, 2, 2, 3, 4]",4,64.9,5,0,4
N3,日本語::JLPT 한끝 Voca::3-N3,汚い,きたない,더럽다,"[2, 2, 2, 2, 3, 4]",4,50.0,6,0,3
N3,日本語::JLPT 한끝 Voca::3-N3,逆,ぎゃく,"반대, 거꾸로","[2, 2, 2, 3, 4]",4,27.3,5,0,4
N3,日本語::JLPT 한끝 Voca::3-N3,関心,かんしん,관심,"[2, 4]",4,8.3,2,0,5
